transaction_id,customer_id,transaction_date,amount,category,status
1001,C001,2026-09-01,125.50,Electronics,completed
1002,C002,2026-09-01,75.00,Grocery,completed
1003,C001,2026-09-01,250.00,Electronics,completed
1004,C003,2026-09-01,50.00,Clothing,cancelled
1005,C002,2026-09-01,120.00,Grocery,completed
1006,C004,2026-09-01,300.00,Electronics,completed
1007,C001,2026-09-02,85.00,Clothing,completed
1008,C003,2026-09-02,45.00,Grocery,completed
1009,C004,2026-09-02,500.00,Electronics,completed
1010,C002,2026-09-02,60.00,Clothing,cancelled
1011,C001,2026-09-02,150.00,Electronics,completed
1012,C005,2026-09-02,90.00,Grocery,completed
